Country,Year,Happiness_Score,Hospital_Beds,Divorce_Rate,Gini_Coefficient,Internet_Access,Marriage_Rate,Obesity_Rate,Press_Freedom,Work_Hours,Region
Australia,2015,7.284,3.82,2,0.3315,85.89,4.8,28.4,17.03,1733,Australia and New Zealand
Australia,2016,7.313,3.84,1.9,0.33,86.11,4.9,29,17.84,1740,Australia and New Zealand
Australia,2017,7.284,3.805555556,2,0.3245,86.18333333,4.6,29.54285714,16.02,1726,Australia and New Zealand
Australia,2018,7.272,3.808888889,1.966666667,0.325,86.29333333,4.528571429,30.10238095,15.46,1723,Australia and New Zealand
Australia,2019,7.228,3.812222222,1.966666667,0.3275,86.40333333,4.396428571,30.66190476,16.55,1712,Australia and New Zealand
Australia,2020,7.2228,3.815555556,1.966666667,0.327,86.51333333,4.264285714,31.22142857,20.21,1706.333333,Australia and New Zealand
Austria,2015,7.2,7.54,1.9,0.275,82.416,5.1,19.7,10.85,1495,Western Europe
Austria,2016,7.119,7.42,1.8,0.284,85.0929,5.1,20.1,13.18,1507,Western Europe
Austria,2017,7.006,7.37,1.8,0.275,88.79243,5.1,20.5,13.47,1498,Western Europe
Austria,2018,7.139,7.27,1.733333333,0.275236364,88.77524,5.326666667,20.91785714,14.04,1502,Western Europe
Austria,2019,7.246,7.185,1.683333333,0.274472727,89.907354,5.486666667,21.33571429,15.33,1501,Western Europe
Austria,2020,7.2942,7.099,1.633333333,0.273709091,92.5962992,5.646666667,21.75357143,15.78,1498.5,Western Europe
Belgium,2015,6.937,5.83,2.2,0.268,81.825,4,21.7,11.98,1575,Western Europe
Belgium,2016,6.929,5.76,2.0999999,0.266,84.7857,3.9,22.1,14.18,1574,Western Europe
Belgium,2017,6.891,5.66,2,0.264,85.96844,3.9,22.35277778,12.75,1578,Western Europe
Belgium,2018,6.927,5.62,1.8999997,0.264571429,87.27254,4.006666667,22.67444444,13.16,1583,Western Europe
Belgium,2019,6.923,5.58,1.7999996,0.264107143,89.73015,4.075238095,22.99611111,12.07,1584.5,Western Europe
Belgium,2020,6.8635,5.498,1.6999995,0.263642857,90.91075889,4.143809524,23.31777778,12.57,1587.3,Western Europe
Canada,2015,7.427,2.62,2.141666667,0.318,,3.977222222,28.8,10.99,1712,North America
Canada,2016,7.404,2.6,2.133333333,0.307,,3.915555556,29.4,15.26,1706,North America
Canada,2017,7.316,2.53,2.125,0.31,,3.853888889,29.95333333,16.53,1695,North America
Canada,2018,7.328,2.55,2.116666667,0.311725275,,3.792222222,30.51619048,15.28,1708,North America
Canada,2019,7.278,2.52,2.108333333,0.311250549,,3.730555556,31.07904762,15.69,1670,North America
Canada,2020,7.2321,2.489,2.1,0.310775824,,3.668888889,31.64190476,15.29,1673.6,North America
Denmark,2015,7.527,2.53,2.9000001,0.263,91.74,5.1,19.3,8.24,1407,Western Europe
Denmark,2016,7.526,2.6,3,0.261,94.3436,5.4,19.7,8.89,1412,Western Europe
Denmark,2017,7.522,2.61,2.5999999,0.265066667,97.00071,5.5,20.05714286,10.36,1405,Western Europe
Denmark,2018,7.555,2.43,2.533333133,0.267752381,92.66406,5.5,20.43928571,13.99,1382,Western Europe
Denmark,2019,7.6,2.6,2.383333033,0.270438095,95.434314,5.592857143,20.82142857,9.87,1380,Western Europe
Denmark,2020,7.6456,2.545,2.233332933,0.27312381,99.97596773,5.685714286,21.20357143,8.13,1372,Western Europe
Estonia,2015,5.429,4.96,2.5999999,0.33,87.729,5.2,20.9,11.19,1763,Central and Eastern Europe
Estonia,2016,5.517,4.76,2.5,0.314,86.1886,4.8,21.2,14.31,1767,Central and Eastern Europe
Estonia,2017,5.611,4.69,2.5,0.309,88.26525,4.9,21.45714286,13.55,1768,Central and Eastern Europe
Estonia,2018,5.739,4.57,2.4333334,0.2932,90.47119,5.17,21.72142857,14.08,1724,Central and Eastern Europe
Estonia,2019,5.893,4.435,2.38333345,0.2806,90.4259,5.3,21.98571429,12.27,1711,Central and Eastern Europe
Estonia,2020,6.0218,4.311,2.3333335,0.268,92.457962,5.43,22.25,12.61,1702.5,Central and Eastern Europe
Finland,2015,7.406,4.35,2.5,0.26,89.9316,4.5,21.8,7.52,1555,Western Europe
Finland,2016,7.413,3.97,2.5,0.259,91.949,4.5,22.2,8.59,1555,Western Europe
Finland,2017,7.469,3.28,2.4000001,0.266,94.41972,4.8,22.55,8.92,1549,Western Europe
Finland,2018,7.632,3.61,2.3666668,0.269,94.27825,4.7,22.92,10.26,1546,Western Europe
Finland,2019,7.769,3.075,2.31666685,0.263654545,94.36129,4.74,23.29,7.9,1540,Western Europe
Finland,2020,7.8087,2.784,2.2666669,0.2639,95.525915,4.78,23.66,7.93,1537.3,Western Europe
France,2015,6.575,6.13,1.9,0.295,82.6207,3.6,21.2,21.15,1519,Western Europe
France,2016,6.478,6.06,1.9,0.291,85.8736,3.5,21.6,23.83,1522,Western Europe
France,2017,6.442,5.98,1.9,0.292,86.412793,3.5,21.96,22.24,1505,Western Europe
France,2018,6.489,5.91,1.9,0.2882,88.562864,3.323636364,22.34,21.87,1495,Western Europe
France,2019,6.592,5.835,1.9,0.2864,90.172666,3.251818182,22.72,22.21,1505,Western Europe
France,2020,6.6638,5.761,1.9,0.2846,91.517298,3.18,23.1,22.92,1492.7,Western Europe
Germany,2015,6.75,8.13,2,0.293,90.2891,4.9,21.9,11.47,1400.8,Western Europe
Germany,2016,6.994,8.06,2,0.294,92.1352,5,22.3,14.8,1394.8,Western Europe
Germany,2017,6.951,8,1.9,0.289,92.857134,4.9,22.7,14.97,1391.3,Western Europe
Germany,2018,6.965,7.933333333,1.866666667,0.291714286,94.393855,4.996428571,23.1,14.39,1389.9,Western Europe
Germany,2019,6.985,7.868333333,1.816666667,0.291892857,94.829303,5.042857143,23.5,14.6,1386.1,Western Europe
Germany,2020,7.0758,7.803333333,1.766666667,0.292071429,95.9586305,5.089285714,23.9,12.16,1382.29,Western Europe
Hungary,2015,4.8,6.99,2.0999999,0.284,75.6375,4.7,25.9,27.44,1745.9,Central and Eastern Europe
Hungary,2016,5.145,7,2,0.28,79.1842,5.3,26.4,28.17,1760.2,Central and Eastern Europe
Hungary,2017,5.324,7.02,1.9,0.289,82.351094,5.2,26.86,29.01,1747.4,Central and Eastern Europe
Hungary,2018,5.62,7.01,1.8000002,0.29330303,83.30887,5.88,27.33428571,29.11,1728.9,Central and Eastern Europe
Hungary,2019,5.758,7.025,1.7000003,0.296862471,86.200935,6.32,27.80857143,30.44,1725.2,Central and Eastern Europe
Hungary,2020,6.0004,7.033,1.6000004,0.300421911,88.9119818,6.76,28.28285714,30.84,1719.71,Central and Eastern Europe
Ireland,2015,6.94,2.92,0.69999999,0.298,84.8585,4.7,24.7,11.2,1771,Western Europe
Ireland,2016,6.907,2.96,0.640000014,0.309,86.9145,4.8,25.3,12.4,1763,Western Europe
Ireland,2017,6.977,2.97,0.631470604,0.295,88.369924,4.6,25.95,14.08,1775,Western Europe
Ireland,2018,6.977,2.97,0.622941194,0.298916667,89.11292,4.6,26.59,14.59,1785,Western Europe
Ireland,2019,7.021,2.995,0.614411783,0.297833333,90.591663,4.55,27.23,15,1772,Western Europe
Ireland,2020,7.0937,3.011,0.605882373,0.29675,92.0689252,4.5,27.87,12.6,1780.4,Western Europe
Italy,2015,5.948,3.2,1.4,0.333,75.3897,3.2,19.6,27.94,1717.5,Western Europe
Italy,2016,5.977,3.17,1.6,0.327,78.51,3.4,19.9,28.93,1721.7,Western Europe
Italy,2017,5.964,3.18,1.5,0.334,81.02437,3.2,20.20357143,26.26,1719.2,Western Europe
Italy,2018,6,3.14,1.6,0.330637363,84.338355,3.171428571,20.50714286,24.12,1722.3,Western Europe
Italy,2019,6.223,3.13,1.65,0.33136044,85.17259,3.142857143,20.81071429,24.98,1717.8,Western Europe
Italy,2020,6.3874,3.113,1.7,0.332083516,88.5052435,3.114285714,21.11428571,23.69,1720.06,Western Europe
Japan,2015,5.987,13.17,1.8,0.339,80.814968,5.1,4.1,26.95,1719,Eastern Asia
Japan,2016,5.921,13.11,1.7,0.339,83.2167944,5,4.3,28.67,1714,Eastern Asia
Japan,2017,5.92,13.05,1.7,0.339,85.51159152,4.9,4.414285714,29.44,1709,Eastern Asia
Japan,2018,5.915,12.98,1.633333333,0.339,87.83498802,4.826666667,4.570238095,28.64,1680,Eastern Asia
Japan,2019,5.886,12.92,1.583333333,0.339,90.22086425,4.743809524,4.726190476,29.36,1644,Eastern Asia
Japan,2020,5.8708,12.857,1.533333333,0.339,92.54883707,4.660952381,4.882142857,28.86,1638,Eastern Asia
Mexico,2015,7.187,1,1,0.459,39.17773854,4.6,28.3,43.69,2140,Latin America and Caribbean
Mexico,2016,6.778,1,1.1,0.458,47.01712112,4.4,28.9,49.33,2146,Latin America and Caribbean
Mexico,2017,6.578,0.99,1.063888873,0.457666667,50.92262118,4.3,29.36666667,48.97,2148,Latin America and Caribbean
Mexico,2018,6.488,0.98,1.098888871,0.457166667,52.8646296,4.146666667,29.88095238,48.91,2149,Latin America and Caribbean
Mexico,2019,6.595,0.972857143,1.133888868,0.456666667,56.35686892,3.998095238,30.3952381,46.78,2137,Latin America and Caribbean
Mexico,2020,6.465,0.964047619,1.168888865,0.456166667,62.42915291,3.84952381,30.90952381,45.45,2138.5,Latin America and Caribbean
Netherlands,2015,7.378,3.49,2,0.288,95.966,3.8,20,9.22,1426,Western Europe
Netherlands,2016,7.339,3.41,2,0.285,96.6602,3.8,20.4,8.76,1437,Western Europe
Netherlands,2017,7.377,3.28,1.9,0.2896,98.23086,3.8,20.86,11.28,1435,Western Europe
Netherlands,2018,7.441,3.17,1.866666667,0.289485714,97.999424,3.79,21.30571429,10.01,1431,Western Europe
Netherlands,2019,7.488,3.065,1.816666667,0.289371429,98.404974,3.78,21.75142857,8.63,1434,Western Europe
Netherlands,2020,7.4489,2.956,1.766666667,0.289257143,99.83644693,3.77,22.19714286,9.96,1431,Western Europe
New Zealand,2015,7.286,2.72,1.9,0.359,,4.3,30.2,10.06,1751,Australia and New Zealand
New Zealand,2016,7.334,2.74,1.7,0.3678,,4.3,30.8,10.01,1751,Australia and New Zealand
New Zealand,2017,7.314,2.73,1.666666667,0.3766,,4.3,31.4,13.98,1752,Australia and New Zealand
New Zealand,2018,7.324,2.62,1.60969697,0.3854,,4.25,32,13.62,1754,Australia and New Zealand
New Zealand,2019,7.307,2.57,1.552727273,0.3942,,4.22,32.6,10.75,1779,Australia and New Zealand
New Zealand,2020,7.2996,2.55,1.495757576,0.403,,4.19,33.2,10.69,1775.1,Australia and New Zealand
Norway,2015,7.522,3.76,1.9,0.272,96.6041,4.5,22.6,7.75,1392,Western Europe
Norway,2016,7.498,3.68,1.9,0.262,97.0455,4.5,23.1,8.79,1394,Western Europe
Norway,2017,7.537,3.6,2,0.262,96.65494,4.4,23.53,7.6,1381,Western Europe
Norway,2018,7.594,3.53,1.94,0.262,96.01309,4.35,23.98,7.63,1383,Western Europe
Norway,2019,7.554,3.45,1.94,0.267545455,98.383236,4.29,24.43,7.82,1384,Western Europe
Norway,2020,7.488,3.373,1.94,0.2695,98.82585406,4.23,24.88,7.84,1378.7,Western Europe
Poland,2015,5.791,6.63,1.8,0.291,75.7829,5,22.7,12.71,1829,Central and Eastern Europe
Poland,2016,5.835,6.64,1.7,0.285,80.4457,5.1,23.1,23.89,1831,Central and Eastern Europe
Poland,2017,5.973,6.62,1.7,0.275,81.878,5.1,23.46666667,26.47,1812,Central and Eastern Europe
Poland,2018,6.123,6.54,1.728571429,0.279666667,84.18844,4.928571429,23.85238095,26.59,1787,Central and Eastern Europe
Poland,2019,6.182,6.535,1.732142857,0.27669697,86.749995,4.885714286,24.23809524,28.89,1806,Central and Eastern Europe
Poland,2020,6.1863,6.506,1.735714286,0.273727273,88.621365,4.842857143,24.62380952,28.65,1786,Central and Eastern Europe
Portugal,2015,5.102,3.37,2.3,0.336,70.2348,3.1,20.4,17.11,1732,Western Europe
Portugal,2016,5.123,3.39,2.2,0.331,74.0535,3.1,20.8,17.27,1737,Western Europe
Portugal,2017,5.195,3.39,2.0999999,0.32,76.934963,3.3,21.27,15.77,1727,Western Europe
Portugal,2018,5.41,3.45,2.14999993,0.323145455,79.42511,3.35,21.72,14.17,1722,Western Europe
Portugal,2019,5.693,3.46,2.13999992,0.320472727,80.93853,3.44,22.17,12.63,1719,Western Europe
Portugal,2020,5.9109,3.484,2.12999991,0.3178,83.10310133,3.53,22.62,11.83,1715.1,Western Europe
Slovenia,2015,5.848,4.51,1.2,0.25,77.6431,3.1,19.8,20.55,1687.3,Central and Eastern Europe
Slovenia,2016,5.768,4.49,1.2,0.244,78.4212,3.2,20.2,22.26,1652.4,Central and Eastern Europe
Slovenia,2017,5.758,4.5,1.2,0.243,81.73686,3.1,20.6,21.7,1621.5,Central and Eastern Europe
Slovenia,2018,5.948,4.43,1.216666667,0.250709091,86.6821,3.18,21,21.69,1598.7,Central and Eastern Europe
Slovenia,2019,6.118,4.425,1.226666667,0.251645455,88.96111,3.2,21.4,22.31,1592.9,Central and Eastern Europe
Slovenia,2020,6.3634,4.402,1.236666667,0.252581818,91.95795,3.22,21.8,22.64,1557.81,Central and Eastern Europe
South Korea,2015,5.984,11.61,2.0999999,0.352,98.78346936,5.9,4.5,26.55,2083,Eastern Asia
South Korea,2016,5.835,11.98,2.0999999,0.355,99.1944483,5.5,4.7,28.58,2068,Eastern Asia
South Korea,2017,5.838,12.27,2.0999999,0.355,99.50465037,5.2,4.9,27.61,2018,Eastern Asia
South Korea,2018,5.875,12.43,2.038888781,0.357,99.47817968,4.986666667,5.1,23.51,1993,Eastern Asia
South Korea,2019,5.895,12.76,1.995555432,0.3585,99.68928795,4.720952381,5.3,24.94,1967,Eastern Asia
South Korea,2020,5.8724,13.035,1.952222084,0.36,99.83115364,4.455238095,5.5,23.7,1933.7,Eastern Asia
Spain,2015,6.329,2.98,2.0999999,0.344,78.7489,3.6,23.4,19.95,1694.2,Western Europe
Spain,2016,6.361,2.97,2.0999999,0.341,81.9309,3.7,23.8,19.92,1701.5,Western Europe
Spain,2017,6.403,2.97,2.0999999,0.333,83.38622,3.7,24.2,18.69,1689.5,Western Europe
Spain,2018,6.31,2.97,2.12999985,0.346690909,86.35764,3.742857143,24.6,20.51,1695.5,Western Europe
Spain,2019,6.354,2.965,2.13999982,0.348518182,91.43762,3.8,25,21.99,1686,Western Europe
Spain,2020,6.4009,2.962,2.14999979,0.350345455,93.65099,3.857142857,25.4,22.16,1686.62,Western Europe
Sweden,2015,7.364,2.44,2.5,0.278,91.0333,5.3,20.2,9.47,1466,Western Europe
Sweden,2016,7.291,2.34,2.4000001,0.282,93.8028,5.4,20.6,12.33,1478,Western Europe
Sweden,2017,7.284,2.21,2.4000001,0.282,94.727325,5.2,21,8.27,1467,Western Europe
Sweden,2018,7.314,2.14,2.556862761,0.275,93.41911,5.28,21.4,8.31,1466,Western Europe
Sweden,2019,7.343,2.025,2.571620241,0.2828,96.05962,5.26,21.8,8.31,1452,Western Europe
Sweden,2020,7.3535,1.922,2.586377721,0.2846,96.709116,5.24,22.2,9.25,1453.8,Western Europe
Turkey,2015,5.332,2.68,1.7,0.404,69.5445,7.7,31.5,44.16,1812.857143,Middle East and Northern Africa
Turkey,2016,5.389,2.75,1.6,0.3991,76.3445,7.5,32.1,50.76,1800.571429,Middle East and Northern Africa
Turkey,2017,5.5,2.81,1.6,0.3992,80.742884,7.1,32.77142857,52.98,1788.285714,Middle East and Northern Africa
Turkey,2018,5.483,2.85,1.633333333,0.3993,83.790946,7.03,33.42142857,53.5,1776,Middle East and Northern Africa
Turkey,2019,5.373,2.915,1.633333333,0.3994,88.29946,6.84,34.07142857,52.81,1763.714286,Middle East and Northern Africa
Turkey,2020,5.1318,2.972,1.633333333,0.3995,92.022683,6.65,34.72142857,50.02,1751.428571,Middle East and Northern Africa
United Kingdom,2015,6.867,2.61,1.7,0.36,91.2516,4.4,27.2,20,1527,Western Europe
United Kingdom,2016,6.725,2.57,1.8,0.351,93.4847,4.4,27.8,21.7,1541,Western Europe
United Kingdom,2017,6.714,2.54,1.62999998,0.357,93.99165,4.45,28.4,22.26,1540,Western Europe
United Kingdom,2018,7.19,2.5,1.556323509,0.366,94.85223,4.47,29,23.25,1535,Western Europe
United Kingdom,2019,7.054,2.46,1.482647037,0.357985294,95.84565,4.49,29.6,22.23,1538,Western Europe
United Kingdom,2020,7.1645,2.425,1.408970566,0.357833333,96.529415,4.51,30.2,22.93,1539.607143,Western Europe
United States,2015,7.119,2.8,3.0999999,0.39,73.37,6.900000095,35.6,24.41,1783,North America
United States,2016,7.104,2.77,3,0.391,73.99,7,36.2,22.49,1778,North America
United States,2017,6.993,2.87,2.9000001,0.39,77.97,6.900000095,36.87142857,23.88,1778,North America
United States,2018,6.886,2.883333333,2.9000001,0.3877,76.965,6.5,37.52142857,23.73,1783,North America
United States,2019,6.892,2.918333333,2.887719321,0.3862,79.88,6.693333308,38.17142857,25.69,1779,North America
United States,2020,6.9396,2.953333333,2.82701757,0.3847,81.2335,6.653333278,38.82142857,23.85,1779.392857,North America
